variable_name,units,value,data_reference
Ibar_SERCA_smc_kapela_VoltageClamp,pA,6.68,smc_kapela_VoltageClamp_parameters.csv
Kup_m_smc_kapela_VoltageClamp,mM,1e-3,smc_kapela_VoltageClamp_parameters.csv
tau_tr_smc_kapela_VoltageClamp,ms,1000,smc_kapela_VoltageClamp_parameters.csv
R_leak_smc_kapela_VoltageClamp,dimensionless,1.07e-5,smc_kapela_VoltageClamp_parameters.csv
tau_rel_smc_kapela_VoltageClamp,ms,0.0333,smc_kapela_VoltageClamp_parameters.csv
CSQN_bar_smc_kapela_VoltageClamp,mM,15,smc_kapela_VoltageClamp_parameters.csv
K_CSQN_smc_kapela_VoltageClamp,mM,0.8,smc_kapela_VoltageClamp_parameters.csv
Vol_SRu_smc_kapela_VoltageClamp,pL,0.07,smc_kapela_VoltageClamp_parameters.csv
Vol_SRr_smc_kapela_VoltageClamp,pL,0.007,smc_kapela_VoltageClamp_parameters.csv
K_r1_smc_kapela_VoltageClamp,per_ms_mM_2,2500,smc_kapela_VoltageClamp_parameters.csv
K_mr1_smc_kapela_VoltageClamp,per_ms,0.0076,smc_kapela_VoltageClamp_parameters.csv
K_mr2_smc_kapela_VoltageClamp,per_ms,0.084,smc_kapela_VoltageClamp_parameters.csv
K_r2_smc_kapela_VoltageClamp,per_ms_mM,1.05,smc_kapela_VoltageClamp_parameters.csv
R_10_init_smc_kapela_VoltageClamp,dimensionless,0.0033,smc_kapela_VoltageClamp_parameters.csv
R_11_init_smc_kapela_VoltageClamp,dimensionless,4e-06,smc_kapela_VoltageClamp_parameters.csv
R_01_init_smc_kapela_VoltageClamp,dimensionless,0.9955,smc_kapela_VoltageClamp_parameters.csv
k_rG_smc_kapela_VoltageClamp,per_ms,1.75e-7,smc_kapela_VoltageClamp_parameters.csv
xi_G_smc_kapela_VoltageClamp,dimensionless,0.85,smc_kapela_VoltageClamp_parameters.csv
R_TG_smc_kapela_VoltageClamp,dimensionless,2e4,smc_kapela_VoltageClamp_parameters.csv
k_pG_smc_kapela_VoltageClamp,per_ms,0.1e-3,smc_kapela_VoltageClamp_parameters.csv
K_1G_smc_kapela_VoltageClamp,mM,0.01,smc_kapela_VoltageClamp_parameters.csv
k_eG_smc_kapela_VoltageClamp,per_ms,6e-6,smc_kapela_VoltageClamp_parameters.csv
K_2G_smc_kapela_VoltageClamp,mM,0.2,smc_kapela_VoltageClamp_parameters.csv
k_aG_smc_kapela_VoltageClamp,per_ms,0.17e-3,smc_kapela_VoltageClamp_parameters.csv
k_dG_smc_kapela_VoltageClamp,per_ms,1.5e-3,smc_kapela_VoltageClamp_parameters.csv
alpha_G_smc_kapela_VoltageClamp,per_ms,2.781e-8,smc_kapela_VoltageClamp_parameters.csv
K_cG_smc_kapela_VoltageClamp,mM,0.4e-3,smc_kapela_VoltageClamp_parameters.csv
k_degG_smc_kapela_VoltageClamp,per_ms,1.25e-3,smc_kapela_VoltageClamp_parameters.csv
r_rG_smc_kapela_VoltageClamp,per_ms,0.015e-3,smc_kapela_VoltageClamp_parameters.csv
PIP_2T_smc_kapela_VoltageClamp,dimensionless,5e7,smc_kapela_VoltageClamp_parameters.csv
RS_G_init_smc_kapela_VoltageClamp,dimensionless,1.7e4,smc_kapela_VoltageClamp_parameters.csv
G_init_smc_kapela_VoltageClamp,mM,0,smc_kapela_VoltageClamp_parameters.csv
RS_PG_init_smc_kapela_VoltageClamp,dimensionless,0,smc_kapela_VoltageClamp_parameters.csv
PIP_2_init_smc_kapela_VoltageClamp,dimensionless,5e7,smc_kapela_VoltageClamp_parameters.csv
Vmax_cGMP_smc_kapela_VoltageClamp,mM_per_ms,1.26e-7,smc_kapela_VoltageClamp_parameters.csv
k_3sGC_smc_kapela_VoltageClamp,per_ms_mM,4.2,smc_kapela_VoltageClamp_parameters.csv
k_m2sGC_smc_kapela_VoltageClamp,per_ms,0.1e-6,smc_kapela_VoltageClamp_parameters.csv
k_DrsGC_smc_kapela_VoltageClamp,per_ms,0.1e-3,smc_kapela_VoltageClamp_parameters.csv
k_pdecGMP_smc_kapela_VoltageClamp,per_ms,0.0695e-3,smc_kapela_VoltageClamp_parameters.csv
K_mpde_smc_kapela_VoltageClamp,mM,1e-3,smc_kapela_VoltageClamp_parameters.csv
V_cGMP_init_smc_kapela_VoltageClamp,mV,0,smc_kapela_VoltageClamp_parameters.csv
I_CasigmaCC_smc_kapela_VoltageClamp,pA,0,smc_kapela_VoltageClamp_parameters.csv
I_CaepsilonCC_smc_kapela_VoltageClamp,pA,0,smc_kapela_VoltageClamp_parameters.csv
I_NasigmaCC_smc_kapela_VoltageClamp,pA,0,smc_kapela_VoltageClamp_parameters.csv
I_NaepsilonCC_smc_kapela_VoltageClamp,pA,0,smc_kapela_VoltageClamp_parameters.csv
Sbar_CM_smc_kapela_VoltageClamp,mM,0.1,smc_kapela_VoltageClamp_parameters.csv
K_dCM_smc_kapela_VoltageClamp,mM,2.60e-4,smc_kapela_VoltageClamp_parameters.csv
Bbar_F_smc_kapela_VoltageClamp,mM,0.1,smc_kapela_VoltageClamp_parameters.csv
K_dB_smc_kapela_VoltageClamp,mM,5.298e-4,smc_kapela_VoltageClamp_parameters.csv
I_stim_smc_kapela_VoltageClamp,pA,0,smc_kapela_VoltageClamp_parameters.csv
N_Avo_smc_kapela_VoltageClamp,per_mole,6.022e+23,smc_kapela_VoltageClamp_parameters.csv
Vol_i_smc_kapela_VoltageClamp,pL,1,smc_kapela_VoltageClamp_parameters.csv
G_0_smc_kapela_VoltageClamp,dimensionless,0,smc_kapela_VoltageClamp_parameters.csv
G_TG_smc_kapela_VoltageClamp,dimensionless,1e+5,smc_kapela_VoltageClamp_parameters.csv
k_1sGC_smc_kapela_VoltageClamp,per_ms_mM,2e+3,smc_kapela_VoltageClamp_parameters.csv
k_m1sGC_smc_kapela_VoltageClamp,per_ms,15e-3,smc_kapela_VoltageClamp_parameters.csv
k_2sGC_smc_kapela_VoltageClamp,per_ms,0.64e-5,smc_kapela_VoltageClamp_parameters.csv
k_DsGC_smc_kapela_VoltageClamp,per_ms,0.4e-3,smc_kapela_VoltageClamp_parameters.csv
